codigo;nome_cliente;telefones;loja;data_cadastro;data_aniversario;data_nascimento;ativo
1;HELENA SILVA ALMEIDA;;62990076069;16/05/2023;02/09;;sim
2;ISABELA CARDOSO SILVA;51997302208;09 - Capital Distrito;06/05/2021;10/01;10/01/1970;sim
3;THIAGO SOUZA CAMPOS;21928409140;02 - Vale Verde Brands;11/09/2024;05/09;;sim
4;BRUNA BARBOSA BARBOSA;31968627579;04 - Porto Leste Aux;24/12/2026;11/07;;sim
5;LORENA OLIVEIRA SOUZA;48968978298;12 - Bairro Alto Prime;22/02/2024;;;sim
6;PATRICIA TEIXEIRA BARBOSA;48914443855;08 - Riacho Outlet;11/10/2024;15/02;15/02/1988;sim
7;ISABELA CARVALHO GOMES;31987994035;04 - Porto Leste Aux;04/03/2018;20/07;;sim
8;PEDRO SANTOS ALMEIDA;48985448017;03 - Monte Azul Brands;02/12/2018;19/07;;nao
9;ISABELA SOUZA ROCHA;41928397908;13 - Rio Claro Distrito;22/01/2022;;;sim
10;GABRIEL TEIXEIRA ROCHA;21912995519 / 85962480768;08 - Riacho Outlet;18/01/2025;;;sim
11;SOFIA RIBEIRO RIBEIRO;41934372121;01 - Aurora Prime;24/12/2020;;;sim
12;FELIPE OLIVEIRA ALVES;62956136546;09 - Capital Distrito;10/11/2022;06/10;06/10/1980;sim
13;PAULO TEIXEIRA CAMPOS;48949086246;01 - Aurora Prime;20/12/2022;;;sim
14;GUSTAVO CARVALHO CARDOSO;62935401333;07 - Serra Alta Porto;13/09/2022;15/05;15/05/1960;sim
15;ALINE PEREIRA TEIXEIRA;41979064934;12 - Bairro Alto Prime;17/10/2025;;;nao
16;VINICIUS MELO PEREIRA;41976161349;02 - Vale Verde Brands;09/12/2020;;;sim
17;LORENA ALMEIDA SANTOS;61988267756;11 - Cascata Distrito;13/08/2019;02/09;02/09/1984;sim
18;GABRIEL TEIXEIRA LIMA;62914552648 / 48994263780;12 - Bairro Alto Prime;14/05/2025;;;sim
19;RODRIGO PEREIRA NASCIMENTO;41961784048;07 - Serra Alta Porto;16/11/2021;10/08;10/08/1968;sim
20;PEDRO CASTRO SILVA;21922242800;15 - Metrô Outlet;21/04/2019;;;sim
21;VITORIA CAMPOS BARBOSA;11965611251;13 - Rio Claro Distrito;12/11/2018;16/06;16/06/1970;nao
22;MARCOS CASTRO MARTINS;61989982263;10 - Marina Brands;21/11/2021;19/02;19/02/1983;sim
23;ROBERTA CARVALHO NASCIMENTO;81986914521;09 - Capital Distrito;05/04/2022;;;sim
24;PEDRO SANTOS CARDOSO;11912918632;08 - Riacho Outlet;26/04/2026;20/05;20/05/1986;sim
25;MATEUS LIMA ARAUJO;71958226814 / 61943199571;11 - Cascata Distrito;14/11/2023;19/02;19/02/1964;nao
26;RODRIGO BARBOSA CARVALHO;85933032953;02 - Vale Verde Brands;15/04/2019;18/04;;nao
27;FELIPE SILVA CASTRO;61920452808;06 - Campo Belo Centro;16/09/2022;14/10;14/10/1994;sim
28;LARISSA CAMPOS ALVES;61952067841;08 - Riacho Outlet;24/08/2022;23/07;23/07/2005;sim
29;MARCOS CARDOSO DIAS;62949089875 / 62962248569;15 - Metrô Outlet;17/02/2018;05/05;05/05/1965;sim
30;BRUNA TEIXEIRA TEIXEIRA;85954107298;13 - Rio Claro Distrito;07/10/2020;;;sim
31;THIAGO ROCHA ALMEIDA;62955781755;01 - Aurora Prime;19/04/2026;;;sim
32;ANA ARAUJO LIMA;41968030509;15 - Metrô Outlet;24/11/2020;19/10;19/10/1985;sim
33;JOAO GOMES SILVA;61976931263 / 81986056024;13 - Rio Claro Distrito;25/09/2019;14/02;;nao
34;CAROLINE CASTRO CAMPOS;11939609743;04 - Porto Leste Aux;01/04/2021;;;sim
35;FERNANDA ROCHA NASCIMENTO;81990373136;09 - Capital Distrito;18/05/2024;08/04;;sim
36;FERNANDA LIMA ARAUJO;48963351045;05 - Porto Sereno Praia;08/01/2021;;;sim
37;ANA CORREIA MARTINS;21963488032;07 - Serra Alta Porto;21/11/2023;;;sim
38;VITORIA CASTRO NASCIMENTO;71910395149;11 - Cascata Distrito;03/06/2018;10/08;10/08/1958;sim
39;CAMILA LIMA LIMA;47957774183;10 - Marina Brands;13/05/2020;23/08;;sim
40;ANA GOMES CARVALHO;48915099078;04 - Porto Leste Aux;09/02/2025;09/11;;sim
41;HELENA PEREIRA RIBEIRO;48934979783;05 - Porto Sereno Praia;22/06/2020;;;sim
42;CAMILA ROCHA FERREIRA;47924652009;04 - Porto Leste Aux;26/08/2020;;;nao
43;LARISSA OLIVEIRA CARVALHO;62936643300;09 - Capital Distrito;06/06/2019;13/09;13/09/1996;nao
44;ALINE TEIXEIRA SOUZA;11952281773;11 - Cascata Distrito;08/05/2020;;;sim
45;MARIA FERREIRA OLIVEIRA;81987539522;14 - Baixada Outlet;01/05/2018;17/12;17/12/1980;sim
46;PAULO NASCIMENTO ROCHA;47981691070;01 - Aurora Prime;28/07/2019;01/02;;sim
47;JESSICA PEREIRA CARVALHO;62983663595;03 - Monte Azul Brands;13/07/2025;05/01;;nao
48;VINICIUS MARTINS BARBOSA;41921817701;06 - Campo Belo Centro;11/01/2026;09/02;09/02/1968;sim
49;LARISSA CASTRO CORREIA;;11969106772;02/12/2023;25/05;25/05/1984;nao
50;LUCAS LIMA MELO;62926720389;14 - Baixada Outlet;28/03/2024;24/02;24/02/1962;sim
51;PEDRO BARBOSA SILVA;61984436516 / 47930461792;04 - Porto Leste Aux;26/08/2023;23/11;;sim
52;VINICIUS TEIXEIRA BARBOSA;11942595181 / 62940470449;14 - Baixada Outlet;25/12/2023;28/04;;sim
53;GUSTAVO SANTOS ALMEIDA;51944851403;13 - Rio Claro Distrito;17/11/2022;;;sim
54;ROBERTA DIAS SOUZA;48973036832;14 - Baixada Outlet;25/02/2026;06/09;06/09/1955;nao
55;VITORIA TEIXEIRA CARVALHO;62939986143;13 - Rio Claro Distrito;18/08/2021;17/07;17/07/1970;sim
56;BEATRIZ OLIVEIRA FERREIRA;48911058042;04 - Porto Leste Aux;15/03/2022;02/02;;sim
57;CAMILA RIBEIRO TEIXEIRA;71951858582 / 81999320352;15 - Metrô Outlet;11/09/2022;05/03;;sim
58;JULIA SANTOS OLIVEIRA;62932439711;08 - Riacho Outlet;18/04/2023;17/11;;nao
59;ALINE CORREIA CORREIA;48975282452;09 - Capital Distrito;13/11/2018;;;sim
60;SOFIA OLIVEIRA OLIVEIRA;81989699449;12 - Bairro Alto Prime;16/05/2025;17/02;;sim
61;LORENA ROCHA LIMA;51974856090;10 - Marina Brands;08/02/2018;17/08;17/08/1995;sim
62;JULIA CORREIA CAMPOS;48970553036;08 - Riacho Outlet;23/11/2021;22/09;22/09/1959;sim
63;PAULO FERREIRA TEIXEIRA;31986071039;15 - Metrô Outlet;06/11/2022;;;sim
64;VINICIUS MARTINS DIAS;51949119038;08 - Riacho Outlet;02/04/2022;27/08;27/08/2007;sim
65;LETICIA CASTRO FERREIRA;61977963668;02 - Vale Verde Brands;11/11/2026;06/08;06/08/1966;sim
66;JULIA MELO MARTINS;11952582150;10 - Marina Brands;10/10/2019;21/02;;sim
67;VINICIUS NASCIMENTO CASTRO;11997379356;13 - Rio Claro Distrito;21/05/2021;;;sim
68;MARIA MARTINS ALMEIDA;47961360048;12 - Bairro Alto Prime;19/03/2024;;;sim
69;VITORIA ALVES GOMES;48940789625;06 - Campo Belo Centro;20/07/2021;19/07;;sim
70;JOSE OLIVEIRA DIAS;41938821945;01 - Aurora Prime;11/04/2018;17/04;17/04/2003;sim
71;VINICIUS CASTRO CORREIA;47973756503;06 - Campo Belo Centro;21/05/2023;04/03;04/03/1963;sim
72;CARLOS SILVA GOMES;47912187424;02 - Vale Verde Brands;24/11/2021;03/11;03/11/1965;sim
73;RODRIGO BARBOSA SOUZA;85915240377;14 - Baixada Outlet;28/12/2025;19/02;19/02/1986;sim
74;RODRIGO MELO TEIXEIRA;31972770294;09 - Capital Distrito;14/01/2019;18/05;18/05/1973;sim
75;DANIELA ROCHA BARBOSA;71979314358;11 - Cascata Distrito;20/02/2019;16/05;;sim
76;VINICIUS PEREIRA RIBEIRO;48993596313;08 - Riacho Outlet;19/05/2026;28/11;;sim
77;RODRIGO TEIXEIRA SOUZA;71974576864;07 - Serra Alta Porto;06/03/2022;10/01;;sim
78;BRUNA SILVA ALVES;81999863046;10 - Marina Brands;02/04/2021;21/02;;nao
